序号,标题,层级,忠实度分,原稿字数,生成字数,压缩比,关键词保留,内容词保留,数字保留,ASCII保留,虚构风险,结论,诊断
30,内存条炒作风波本质是投机离场信号,long,49.5,3188,812,0.255,63%,31%,0%,100%,0%,差：建议重写,"数字/年份保留率低（丢：1967年, 2009年, 2014年）"
31,让孩子从小建立金钱意识，抵御消费主义侵蚀,long,59.5,8606,1517,0.176,63%,31%,50%,100%,0%,偏弱：建议人工复核或重写,指标偏低但未见单项硬伤，建议人工抽查
32,AI时代情商是不可替代的护城河,medium,88.4,2228,1221,0.548,93%,70%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
33,AI正引发生产关系的全面重构,long,59.4,8594,2449,0.285,59%,37%,57%,90%,0%,偏弱：建议人工复核或重写,指标偏低但未见单项硬伤，建议人工抽查
34,长白山顶奢VIP俱乐部正式启用,short,100.0,172,166,0.965,100%,100%,100%,100%,0%,良好,
35,长白山深圳滑雪，我带你们滑,short,85.7,21,135,6.429,100%,100%,100%,100%,0%,基本合格,生成文章明显膨胀（6.4x），检查是否注水
36,AI商业化正滑向流量游戏而非生产力革命,medium,95.6,905,711,0.786,100%,85%,100%,100%,0%,良好,
37,AI时代将催生提示词与应用能力等级认证,medium,95.5,1170,903,0.772,100%,85%,100%,100%,0%,良好,
38,孩子线下社交场景的消失与重建,medium,85.9,1608,938,0.583,93%,61%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
39,高波动率是风险信号而非机会,long,51.6,6226,1308,0.21,66%,34%,18%,67%,0%,差：建议重写,"数字/年份保留率低（丢：20%, 2016年, 2022年, 2024年）"
40,成都老妈蹄花：付鹏的物理坐标与老味道,medium,100.0,552,551,0.998,100%,100%,100%,100%,0%,良好,
41,2026新年寄语：重拾长周期续航力,short,100.0,191,192,1.005,100%,100%,100%,100%,0%,良好,
42,超高层住宅是未来城市垂直废墟,medium,91.1,1151,815,0.708,100%,70%,100%,100%,0%,良好,
43,AI是工具，制度必须匹配技术进步,medium,75.2,1857,1072,0.577,90%,79%,0%,100%,0%,中等：建议人工复核,数字/年份保留率低（丢：2029年）
44,二十五岁定投垃圾币换财富自由,medium,89.5,1815,1246,0.687,94%,71%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
45,人口终局：人才聚集驱动区域经济重构,long,58.6,4388,1131,0.258,64%,37%,38%,100%,0%,偏弱：建议人工复核或重写,"数字/年份保留率低（丢：1956年, 2015年, 一千万, 一百万）"
46,高波动率是投资雷区，不是机会,medium,76.0,2627,1275,0.485,80%,56%,75%,100%,0%,中等：建议人工复核,指标偏低但未见单项硬伤，建议人工抽查
47,对中年人最好的守护是父母安康,medium,95.0,487,514,1.055,100%,83%,100%,100%,0%,良好,
48,边界感是年轻人的职场新礼仪,medium,87.1,964,639,0.663,100%,57%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
49,AI轻应用的普及上限与专业下限,medium,87.1,1375,582,0.423,95%,63%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
50,职场新人的物质基础与情商现实,medium,83.1,2151,1026,0.477,90%,55%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
51,播客将成为高认知阶层主流内容赛道,medium,83.1,1396,678,0.486,92%,54%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
52,AI替代是分层渐进的，创造比等待更主动,medium,78.2,1540,726,0.471,80%,51%,100%,100%,0%,中等：建议人工复核,指标偏低但未见单项硬伤，建议人工抽查
53,流量生意只有两条路：短期爆款或长期释放,medium,88.2,957,613,0.641,89%,74%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
54,当代孩子最缺的不是认知而是社交,medium,71.6,1888,872,0.462,71%,39%,100%,100%,0%,中等：建议人工复核,指标偏低但未见单项硬伤，建议人工抽查
55,小镇核心资产的不灭逻辑,medium,80.9,1326,815,0.615,90%,48%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
56,顺周期跳槽泡沫与中年危机陷阱,medium,95.3,1112,903,0.812,100%,84%,100%,100%,0%,良好,
57,断舍离是人生纠偏的核心能力,medium,75.9,1002,729,0.728,71%,53%,100%,100%,0%,中等：建议人工复核,指标偏低但未见单项硬伤，建议人工抽查
58,生产力跃迁正重构全球金融秩序,medium,78.6,1645,889,0.54,75%,58%,100%,100%,0%,中等：建议人工复核,指标偏低但未见单项硬伤，建议人工抽查
59,通胀挣钱，通缩花钱：一个基准财务原则,long,47.5,10573,2482,0.235,64%,35%,33%,0%,0%,差：建议重写,"数字/年份保留率低（丢：1992年, 2%, 20%, 2013年）"
60,医患关系中必须坚持良币驱逐劣币,medium,78.1,2074,981,0.473,79%,52%,100%,100%,0%,中等：建议人工复核,指标偏低但未见单项硬伤，建议人工抽查
61,潮玩行业的本质是人口周期,long,48.1,11829,1426,0.121,49%,23%,33%,100%,0%,差：建议重写,"数字/年份保留率低（丢：1819年, 1974年, 1975年, 1994年）"
62,“死了么”APP爆火背后的孤独经济,medium,63.7,1213,783,0.646,80%,52%,0%,100%,0%,偏弱：建议人工复核或重写,"数字/年份保留率低（丢：1%, 一千万, 十一百万）"
63,内卷的本质是利润消失与资源垄断,long,43.4,11574,1498,0.129,44%,22%,20%,100%,0%,差：建议重写,"数字/年份保留率低（丢：1929年, 2002年, 2015年, 百分之十）；高频关键词大量丢失，核心论点可能被压掉"
64,消费券本质是补生产端而非居民,medium,78.3,1708,853,0.499,80%,51%,100%,100%,0%,中等：建议人工复核,指标偏低但未见单项硬伤，建议人工抽查
65,保守主义回归是生产力重构的必经阶段,long,42.7,7893,1446,0.183,60%,29%,0%,50%,0%,差：建议重写,数字/年份保留率低（丢：2016年）
66,2025财经之夜：生产力、生产关系与秩序重建,long,71.9,4407,1939,0.44,71%,62%,71%,85%,0%,压缩较重，核心观点需人工复核,指标偏低但未见单项硬伤，建议人工抽查
67,十五到十八岁是孩子财商培养黄金期,medium,87.0,1709,858,0.502,100%,57%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
68,老百姓认知的房地产不是真实世界,medium,72.0,1890,861,0.456,85%,57%,100%,0%,0%,中等：建议人工复核,指标偏低但未见单项硬伤，建议人工抽查
69,身体信号比K线图更值得盯紧,medium,85.9,2130,1429,0.671,94%,69%,83%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
70,我们这代人正经历一场财富变革,medium,97.6,1015,965,0.951,100%,92%,100%,100%,0%,良好,
71,三四线城市房价评估公式：收入中位数与房价中位数之比,medium,39.0,1631,615,0.377,50%,38%,0%,0%,0%,差：建议重写,数字/年份保留率低（丢：三四十万）；核心关键词保留率偏低，可能漏掉主要案例/论证
72,2026年普通人搞钱逻辑转向求稳,medium,89.1,1660,1097,0.661,96%,81%,75%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
73,我死前会把钱花完，不留给子女,medium,95.0,1007,748,0.743,100%,83%,100%,100%,0%,良好,
74,投资机会就在你熟悉的行业里,medium,85.4,1049,667,0.636,80%,74%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
75,财富积累的两次觉醒：从加杠杆到降杠杆,medium,86.8,1210,844,0.698,100%,72%,67%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
76,散户的认知漏洞比市场波动更致命,medium,71.5,2347,1489,0.634,76%,55%,57%,100%,0%,中等：建议人工复核,指标偏低但未见单项硬伤，建议人工抽查
77,有现金流的负债是优质杠杆,medium,95.8,766,660,0.862,100%,86%,100%,100%,0%,良好,
78,分清故事与价值：炒房与投资的本质区别,medium,81.0,1810,883,0.488,87%,52%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
79,业主圈层正成为房价定价核心,medium,86.5,778,773,0.994,100%,80%,50%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
80,垃圾资讯泛滥比市场波动更致命,medium,69.4,1570,828,0.527,90%,43%,100%,0%,0%,偏弱：建议人工复核或重写,指标偏低但未见单项硬伤，建议人工抽查
81,高波动率下不宜交易是老兵铁律,medium,90.4,1132,836,0.739,94%,75%,100%,100%,0%,良好,
82,所有决策必须基于自身条件,medium,80.4,689,509,0.739,69%,71%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
83,商业机会藏在二手咖啡机和街头细节里,medium,76.4,2104,1019,0.484,77%,48%,100%,100%,0%,中等：建议人工复核,指标偏低但未见单项硬伤，建议人工抽查
84,投资的第一要务是活得长,medium,99.8,1588,1546,0.974,100%,99%,100%,100%,0%,良好,
85,年轻人买房还是租房？关键在财务规划,medium,73.7,662,489,0.739,62%,56%,100%,100%,0%,中等：建议人工复核,指标偏低但未见单项硬伤，建议人工抽查
86,保本的本质是接受无风险利率的波动区间,medium,74.6,691,499,0.722,90%,60%,100%,0%,0%,中等：建议人工复核,指标偏低但未见单项硬伤，建议人工抽查
87,三四线房产投资的本质是圈层准入,medium,75.0,1106,816,0.738,75%,46%,100%,100%,0%,中等：建议人工复核,指标偏低但未见单项硬伤，建议人工抽查
88,技术无罪，用技术的人才有对错,medium,75.0,2069,1358,0.656,88%,81%,0%,100%,0%,中等：建议人工复核,数字/年份保留率低（丢：2029年）
89,房地产的底层逻辑：住是第一属性，投资需看租售比,medium,84.0,1542,1033,0.67,100%,68%,57%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
90,贵人不是撞上的，是准备好了才接得住,medium,76.1,1820,828,0.455,75%,49%,100%,100%,0%,中等：建议人工复核,指标偏低但未见单项硬伤，建议人工抽查
91,生产力、生产关系与制度秩序的三重机遇,long,32.6,15634,1597,0.102,34%,17%,26%,38%,0%,差：建议重写,"数字/年份保留率低（丢：1516年, 1956年, 1980年, 1981年）；高频关键词大量丢失，核心论点可能被压掉"
92,资本本质是挣价差、利差、汇差,medium,79.3,888,702,0.791,80%,63%,100%,75%,0%,中等：建议人工复核,指标偏低但未见单项硬伤，建议人工抽查
93,年轻人要警惕消费主义对欲望的操控,medium,85.7,911,773,0.849,88%,66%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
94,娶妻重贤不重貌，家庭如公司需制度化管理,medium,86.2,1907,1085,0.569,95%,60%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
95,逆周期现金流才是财富真正的护城河,medium,77.1,2671,1012,0.379,77%,51%,100%,100%,0%,中等：建议人工复核,指标偏低但未见单项硬伤，建议人工抽查
96,股市真正的密码是全要素生产率,medium,59.1,2155,979,0.454,70%,46%,71%,0%,0%,偏弱：建议人工复核或重写,指标偏低但未见单项硬伤，建议人工抽查
97,千万净资产才是最舒服的财富阶段,medium,78.1,1231,672,0.546,77%,54%,100%,100%,0%,中等：建议人工复核,指标偏低但未见单项硬伤，建议人工抽查
98,普通人赚不了高波动性资产的钱,medium,73.1,1868,944,0.505,76%,52%,71%,100%,0%,中等：建议人工复核,指标偏低但未见单项硬伤，建议人工抽查
99,财富传承的本质是制度而非家族,medium,99.5,1114,1092,0.98,100%,98%,100%,100%,0%,良好,
100,中产没有消失，只是财富幻觉破灭了,medium,80.9,1125,686,0.61,100%,49%,75%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
101,买车已不是身份投资，而是低效消费,medium,59.0,1698,749,0.441,46%,43%,67%,100%,0%,偏弱：建议人工复核或重写,核心关键词保留率偏低，可能漏掉主要案例/论证
102,短视频扭曲的财富观正在毒害年轻人,medium,66.4,1117,673,0.603,75%,50%,100%,0%,0%,偏弱：建议人工复核或重写,指标偏低但未见单项硬伤，建议人工抽查
103,AI正在实现教育平权,medium,86.2,787,493,0.626,100%,54%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
104,个体主义崛起是经济发展的必然结果,medium,82.0,1978,1174,0.594,89%,53%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
105,房价下跌并非人人受益,medium,96.2,1154,1004,0.87,100%,87%,100%,100%,0%,良好,
106,财富积累靠杠杆择时而非单纯努力,medium,86.5,1431,962,0.672,89%,68%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
107,年轻人首选南方上大学或留学,medium,89.8,406,406,1.0,100%,66%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
108,供给周期遇上有效需求萎缩,long,61.2,4768,1136,0.238,60%,33%,62%,100%,0%,压缩较重，核心观点需人工复核,指标偏低但未见单项硬伤，建议人工抽查
109,两代人的吃苦观与压力本质差异,long,53.6,4816,1074,0.223,45%,25%,100%,33%,0%,差：建议重写,指标偏低但未见单项硬伤，建议人工抽查
110,制度的第一生产力在于纠偏能力,long,75.5,3216,1019,0.317,71%,42%,100%,100%,0%,压缩较重，核心观点需人工复核,指标偏低但未见单项硬伤，建议人工抽查
111,特朗普二度执政与全球右翼化交易,long,39.7,21554,3630,0.168,50%,28%,33%,0%,0%,差：建议重写,"数字/年份保留率低（丢：1314年, 1819年, 2011年, 2012年）"
112,阿西莫格鲁与技术进步的社会不平等,long,50.9,4373,944,0.216,52%,25%,75%,24%,0%,差：建议重写,指标偏低但未见单项硬伤，建议人工抽查
113,《傻钱》背后的GameStop逼仓与社交媒体煽动,long,65.5,4443,1527,0.344,69%,33%,100%,31%,0%,压缩较重，核心观点需人工复核,指标偏低但未见单项硬伤，建议人工抽查
114,财政必须发力，但不能重回老路,long,28.4,20327,1515,0.075,34%,17%,15%,14%,0%,差：建议重写,"数字/年份保留率低（丢：1116年, 1978年, 1998年, 2002年）；高频关键词大量丢失，核心论点可能被压掉"
115,财富效应不等于纸面浮盈,long,67.8,3625,1301,0.359,83%,49%,55%,50%,0%,压缩较重，核心观点需人工复核,指标偏低但未见单项硬伤，建议人工抽查
116,经济与股市的关系本质是政策预期,long,32.6,21162,1623,0.077,34%,17%,21%,44%,0%,差：建议重写,"数字/年份保留率低（丢：1516年, 2%, 2000年, 2004年）；高频关键词大量丢失，核心论点可能被压掉"
117,房屋持有成本正在显性化,long,81.8,3607,1427,0.396,80%,55%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
118,房价涨跌都抑制消费？关键在财富分配比例,long,52.8,4320,1168,0.27,62%,33%,33%,67%,0%,差：建议重写,"数字/年份保留率低（丢：一千六百万, 一百六十万, 八十万, 八百万）"
119,黑神话悟空背后的中国游戏土壤变化,long,48.0,5093,1574,0.309,66%,38%,0%,57%,0%,差：建议重写,数字/年份保留率低（丢：五六十万）
120,《逆行人生》里的中年危机与内卷现实,long,72.2,3095,1139,0.368,64%,42%,100%,100%,0%,压缩较重，核心观点需人工复核,指标偏低但未见单项硬伤，建议人工抽查
121,《逆行人生》中的技术内卷与底层互害,long,57.8,3604,1060,0.294,74%,48%,0%,100%,0%,偏弱：建议人工复核或重写,数字/年份保留率低（丢：1990年）
122,《逆行人生》的幻象与现实,long,71.8,3396,1041,0.307,63%,41%,100%,100%,0%,压缩较重，核心观点需人工复核,指标偏低但未见单项硬伤，建议人工抽查
123,芳村茶叶再爆雷：庞氏骗局下的赌徒与帮凶,long,68.0,4563,2055,0.45,84%,59%,67%,0%,0%,压缩较重，核心观点需人工复核,指标偏低但未见单项硬伤，建议人工抽查
124,小马宝莉卡牌争议：成人博彩玩法侵入未成年人市场,long,81.7,4724,2066,0.437,79%,57%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
125,付鹏重返越南：打破炒房迷思，洞察制造业转移与文化变迁,long,50.1,6907,2242,0.325,57%,36%,40%,40%,0%,差：建议重写,"数字/年份保留率低（丢：2004年, 2014年, 506年）"
126,大型体育赛事关注度下降的社会与经济根源,medium,74.5,2115,1133,0.536,67%,54%,100%,100%,0%,中等：建议人工复核,指标偏低但未见单项硬伤，建议人工抽查
127,警惕社交媒体上重出江湖的杀猪盘与黑平台对赌陷阱,medium,84.8,983,916,0.932,92%,84%,50%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
128,网约车调研实录：从商务车到特惠单的经济温差,long,66.8,3370,1355,0.402,73%,45%,100%,0%,0%,压缩较重，核心观点需人工复核,指标偏低但未见单项硬伤，建议人工抽查
129,产能过剩的根本逻辑：国家主义大于市场经济,medium,97.1,843,1104,1.31,100%,90%,100%,100%,0%,良好,
130,存量经济下的商业法则：精细化管理与服务内卷,medium,89.6,1577,1272,0.807,95%,71%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
131,从左右翼意识形态看无人驾驶网约车的争议与平衡,long,87.1,5851,2175,0.372,87%,64%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
132,技术下沉服务业需谨慎：无人驾驶对当前就业生态的冲击,medium,93.8,1718,1241,0.722,96%,84%,100%,100%,0%,良好,
133,个体应对长周期：保现金流、降杠杆与心理减压,medium,97.1,1514,1297,0.857,100%,90%,100%,100%,0%,良好,
134,无人驾驶商业骗局：披着科技外衣的金融收割,medium,85.4,1233,1133,0.919,86%,68%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
135,618狂欢退潮：消费理性回归与降本增效的恶性循环,medium,96.6,1338,1142,0.854,100%,89%,100%,100%,0%,良好,
136,房产思维切换：从升值预期回归租售比与性价比,medium,75.7,2529,1325,0.524,90%,64%,33%,100%,0%,中等：建议人工复核,"数字/年份保留率低（丢：四五十万, 四十万五十万）"
137,警惕互联网烧钱模式在制造业通缩环境下的连锁风险,long,78.4,5785,2361,0.408,87%,63%,100%,17%,0%,压缩较重，核心观点需人工复核,指标偏低但未见单项硬伤，建议人工抽查
138,共享员工背后的存量博弈与三代就业挤压,medium,85.4,1720,1263,0.734,96%,73%,100%,50%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
139,名义收入及预期才是决定风险偏好的关键,long,53.6,4450,2042,0.459,85%,52%,0%,0%,0%,差：建议重写,数字/年份保留率低（丢：2034年）
140,内卷时代的戾气：同是天涯沦落人，何苦互相为难,medium,70.0,1800,1082,0.601,78%,59%,100%,0%,0%,中等：建议人工复核,指标偏低但未见单项硬伤，建议人工抽查
141,付鹏：金融去杠杆周期下，未来十年未必是择业最优解,long,89.1,3965,2291,0.578,91%,77%,89%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
142,内卷越过边际：企业居民恶性循环与破局之道,long,62.6,4590,2065,0.45,84%,66%,33%,0%,0%,压缩较重，核心观点需人工复核,"数字/年份保留率低（丢：1990年, 2029年）"
143,付鹏：非法集资的本质是贪念，高息背后盯着的是你的本金,medium,96.4,1237,988,0.799,100%,88%,100%,100%,0%,良好,
144,论信用风险：股权本质是超前债务的违约风险,long,64.5,4738,2112,0.446,88%,68%,33%,0%,0%,压缩较重，核心观点需人工复核,"数字/年份保留率低（丢：2008年, 2014年）"
145,互联网大厂裁员与服务业内卷：从降本增效到收入下降的传导,medium,76.4,2401,1258,0.524,94%,62%,100%,0%,0%,中等：建议人工复核,指标偏低但未见单项硬伤，建议人工抽查
146,去杠杆周期下，不炒房也不炒股：风险偏好收缩与现金流回归,medium,86.8,1619,1004,0.62,95%,70%,83%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
147,日本大学生98.1%就职率背后的劳动力结构变迁,medium,67.5,2419,1385,0.573,88%,57%,64%,0%,0%,偏弱：建议人工复核或重写,指标偏低但未见单项硬伤，建议人工抽查
148,日本大学生就职率回升背后的代际更替与储蓄逻辑,long,84.0,4395,2236,0.509,86%,63%,88%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
149,GDP总量增长与个人体感背离的根源在于分配,medium,94.7,1130,1090,0.965,95%,88%,100%,100%,0%,良好,
150,中国养老三层体系的结构性失衡与底层现实,long,61.1,4425,1987,0.449,87%,52%,33%,0%,0%,压缩较重，核心观点需人工复核,"数字/年份保留率低（丢：七八亿, 三千万）"
151,反思互联网“不赚钱交朋友”思维对出版业的破坏,long,54.5,5881,2076,0.353,78%,48%,25%,0%,0%,差：建议重写,"数字/年份保留率低（丢：5%, 三十万, 三千万, 二十万）"
152,揭秘非法荐股骗局：利用概率筛选与散户盲从心理,medium,89.0,1223,1109,0.907,89%,76%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
153,居民部门三不贷：老存中还少悟，政策刺激难改风险偏好收缩,medium,77.2,1885,1361,0.722,90%,66%,40%,100%,0%,中等：建议人工复核,"数字/年份保留率低（丢：2009年, 三百万, 六十万）"
154,付鹏：财产性收入消退，消费回归劳动收入与极致性价比,medium,94.1,868,977,1.126,100%,80%,100%,100%,0%,良好,
155,探访成都觅山：从发酵车间到田间地头的青梅酒溯源,medium,86.7,1198,1032,0.861,100%,56%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
156,付鹏回应AI歪曲报道：高铁涨价本质是税收，绿皮车不可取消,medium,95.4,1121,1234,1.101,100%,85%,100%,100%,0%,良好,
157,付鹏探访四川青梅酒厂及牛熊联名款发布预告,short,92.0,244,943,3.865,100%,88%,100%,100%,0%,良好,生成文章明显膨胀（3.9x），检查是否注水
158,付鹏解析巴菲特投资逻辑：回避早期不确定性而非排斥科技,medium,95.0,366,1089,2.975,100%,85%,100%,100%,0%,良好,
159,高铁票价上浮背后的财政逻辑与绿皮车的必要性,medium,94.2,1622,1152,0.71,100%,81%,100%,100%,0%,良好,
160,付鹏推荐觅山与华尔街见闻联名牛熊青梅酒,medium,98.3,957,1095,1.144,100%,94%,100%,100%,0%,良好,
161,人到中年必须提前规划职业转型，拒绝无准备之仗,medium,94.9,1515,1287,0.85,100%,83%,100%,100%,0%,良好,
162,付鹏澄清热搜误会：退网者非本人，调侃愿与李佳琦连麦,short,34.0,184,1113,6.049,100%,94%,100%,100%,100%,高危：建议重写,【虚构风险】短稿被大幅扩写，新增大量原稿外内容；生成文章明显膨胀（6.0x），检查是否注水
163,未来就业选择：技术壁垒、冷门行业与跨界组合,medium,95.5,609,1040,1.708,100%,85%,100%,100%,0%,良好,
164,金融让利于实体：行业萎缩与转型的必然趋势,medium,95.0,648,966,1.491,100%,83%,100%,100%,0%,良好,
165,理科教育沦为应试工具，应用学科落后世界七十年,medium,98.8,735,1141,1.552,100%,96%,100%,100%,0%,良好,
166,付鹏：拒绝碎片化信息，通过系统性阅读构建金融世界观,medium,96.3,1101,1084,0.985,100%,88%,100%,100%,0%,良好,
167,实体金店的商业逻辑：存货、周转与高杠杆对赌,long,79.7,5484,2601,0.474,91%,68%,50%,100%,0%,压缩较重，核心观点需人工复核,指标偏低但未见单项硬伤，建议人工抽查
168,鸡娃内卷的本质：商业暗示与代际焦虑推高养育成本,medium,90.9,891,1115,1.251,100%,70%,100%,100%,0%,良好,
169,留住那些疯狂的机械记忆，那是我们终将逝去的青春,short,27.8,89,1183,13.292,83%,83%,100%,100%,100%,高危：建议重写,【虚构风险】短稿被大幅扩写，新增大量原稿外内容；生成文章明显膨胀（13.3x），检查是否注水
170,储值卡本质是高息揽储加杠杆的金融游戏,medium,73.2,1004,1436,1.43,88%,75%,0%,100%,0%,中等：建议人工复核,数字/年份保留率低（丢：204%）
